latitude,longitude,Country,streak_months,streak_start,streak_end,n_users,user_ids,n_obs,Category
47.39214,8.571244,Switzerland,37.0,2021-05,2024-05,5,"[36126, 35124, 11596, 11370, 64580]",145,temporary stream
44.236064,-69.099955,United States of America,36.0,2023-05,2026-04,2,"[82037, 108071]",358,physical scale
47.388274,8.564053,Switzerland,34.0,2021-08,2024-05,4,"[11370, 35124, 59271, 6542]",141,temporary stream
48.106979,-1.80085,France,34.0,2022-08,2025-05,1,[16741],38,temporary stream
47.388087,8.563878,Switzerland,34.0,2021-08,2024-05,3,"[11370, 35124, 6542]",112,temporary stream
47.393323,8.553011,Switzerland,33.0,2020-10,2023-06,34,"[11370, 2267, 35124, 29636, 35961, 34459, 6542, 37064, 11596, 38386, 38602, 38660, 2203, 38316, 39502, 39784, 39906, 38051, 44485, 48606, 52836, 52894, 36126, 6097, 29918, 59117, 63890, 6400, 64580, 53508, 70957, 73050, 78311, 83061]",258,temporary stream
47.391693,8.555383,Switzerland,33.0,2020-10,2023-06,23,"[11370, 2267, 35124, 29636, 35969, 36554, 11596, 37064, 37794, 2203, 38051, 38055, 6542, 39177, 38316, 39300, 39906, 52522, 53508, 53509, 57328, 36126, 78779]",223,temporary stream
47.396071,8.56832,Switzerland,32.0,2021-10,2024-05,4,"[35124, 11370, 62018, 64580]",113,temporary stream
48.327366,16.216394,Austria,32.0,2020-07,2023-02,2,"[29542, 32535]",270,virtual scale
47.391974,8.552873,Switzerland,32.0,2020-11,2023-06,9,"[29636, 35124, 37064, 6542, 39784, 39906, 45549, 5462, 11370]",177,virtual scale
48.328912,16.214674,Austria,32.0,2020-07,2023-02,1,[29542],588,temporary stream
48.345657,16.238686,Austria,32.0,2020-07,2023-02,2,"[29542, 25791]",163,virtual scale
46.990429,7.450526,Switzerland,31.0,2019-08,2022-02,1,[3065],283,virtual scale
48.34557,16.239102,Austria,30.0,2020-09,2023-02,1,[29542],148,soil moisture
48.108266,-1.805726,France,30.0,2022-12,2025-05,1,[16741],31,temporary stream
48.098572,-1.833989,France,29.0,2023-01,2025-05,1,[16741],30,temporary stream
48.095959,-1.83748,France,29.0,2023-01,2025-05,1,[16741],31,temporary stream
48.179503,16.259209,Austria,29.0,2021-02,2023-06,2,"[476, 829]",228,temporary stream
47.392078,8.571412,Switzerland,28.0,2022-02,2024-05,2,"[11370, 35124]",85,temporary stream
48.093881,-1.799795,France,27.0,2021-02,2023-04,1,[16741],30,temporary stream
47.395753,8.568958,Switzerland,26.0,2022-04,2024-05,2,"[35124, 11370]",75,temporary stream
45.939624,5.339558,France,26.0,2020-02,2022-03,1,[25925],46,temporary stream
51.546977,-3.26152,United Kingdom,26.0,2019-12,2022-01,1,[17235],166,temporary stream
51.546988,-3.261001,United Kingdom,26.0,2019-12,2022-01,1,[17235],166,temporary stream
45.929578,5.347315,France,26.0,2020-02,2022-03,2,"[25925, 17059]",56,temporary stream
51.546732,-3.264197,United Kingdom,26.0,2019-12,2022-01,1,[17235],127,temporary stream
51.547258,-3.260742,United Kingdom,26.0,2019-12,2022-01,1,[17235],166,temporary stream
48.179503,16.259209,Austria,23.0,2023-08,2025-06,2,"[476, 829]",197,temporary stream
46.996912,7.437544,Switzerland,22.0,2017-09,2019-06,1,[3065],89,virtual scale
51.540098,-3.264515,United Kingdom,22.0,2020-04,2022-01,1,[17235],138,virtual scale
53.891861,-9.17126,Ireland,22.0,2023-08,2025-05,1,[78277],89,virtual scale
