user_id,n_spots,spots,weighted_spots
53942,1,"[(47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07')]",0.091
53508,2,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.089
38051,2,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.089
39558,1,"[(47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07')]",0.083
2258,1,"[(47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07')]",0.083
57523,1,"[(47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.077
57582,1,"[(47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.077
57568,1,"[(47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.077
57517,1,"[(47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.077
64372,1,"[(47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07')]",0.071
39441,1,"[(47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07')]",0.071
48424,1,"[(47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07')]",0.071
62555,1,"[(47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07')]",0.071
53539,1,"[(47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07')]",0.071
51631,1,"[(47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07')]",0.071
35174,1,"[(47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07')]",0.071
67410,1,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07')]",0.071
36554,1,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07')]",0.071
36890,1,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07')]",0.059
37366,1,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07')]",0.059
55655,1,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07')]",0.059
37794,1,"[(47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.056
57328,1,"[(47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.056
53509,1,"[(47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.056
52522,1,"[(47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.056
39300,1,"[(47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.056
38055,1,"[(47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07')]",0.056
38386,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
35961,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
34459,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
52836,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
44485,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
38602,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
38660,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
6400,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
52894,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
29918,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
59117,1,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07')]",0.033
